  —  33190
Whip  —  2
Allies  —  2
Pirate  —  2
Inc  —  2
Brainwave  —  2
Syndicate  —  2
Per  —  2
Degaton  —  2
Psycho  —  2
Ultra  —  2
Humanite  —  2
Gardner  —  2
Calculator  —  2
Ghost  —  2
Creators  —  2
Titles  —  2
Big  —  2
Barda  —  2
Kendra  —  2
Katana  —  2
Booster  —  2
Savant  —  2
Chemo  —  2
Gorilla  —  2
Grodd  —  2
Hector  —  2
Hammond  —  2
Lashina  —  2
Album  —  2
Cat  —  2
Graves  —  2
Chimp  —  2
Dr  —  2
Hall  —  2
Hol  —  2
Doom  —  2
Manta  —  2
Brainiac  —  2
Cold  —  2
Cheetah  —  2
Eclipso  —  2
Imperiex  —  2
Khan  —  2
Maxwell  —  2
Lord  —  2
Reverse  —  2
Sinestro  —  2
Vandal  —  2
Savage  —  2
Manhunters  —  2
soundtrack  —  2
Alyas  —  2
en  —  2
Current  —  2
Enchantress  —  2
Sub  —  2
Special  —  2
Films  —  2
Annihilation  —  2
Scorpion  —  2
Cage  —  2
Grinning  —  2
BNF  —  2
FAST  —  2
GND  —  2
LCCN  —  2
NKC  —  2
NLP  —  2
PLWABN  —  2
SUDOC  —  2
VIAF  —  2
321149233563176512211  —  2
bosses  —  2
description  —  2
Wikidata  —  2
infoboxes  —  2
Navigation  —  2
View  —  2
Contact  —  2
Upload  —  2
file  —  2
Bahasa  —  2
Privacy  —  2
free  —  1
encyclopedia  —  1
navigation  —  1
search  —  1
redirects  —  1
Publication  —  1
Publisher  —  1
Created  —  1
affiliations  —  1
aliases  —  1
Abilities  —  1
Expert  —  1
chemist  —  1
Using  —  1
toxins  —  1
appears  —  1
Credit  —  1
disputed  —  1
responsibility  —  1
acknowledging  —  1
contribution  —  1
planned  —  1
spared  —  1
intervention  —  1
endure  —  1
regulation  —  1
—the  —  1
ward—and  —  1
possible  —  1
involves  —  1
falling  —  1
tank  —  1
turns  —  1
bright  —  1
antithesis  —  1
perfect  —  1
adversary  —  1
expertise  —  1
poisonous  —  1
spraying  —  1
collapse  —  1
villainous  —  1
escaped  —  1
among  —  1
collectible  —  1
inspire  —  1
structures  —  1
attractions  —  1
referenced  —  1
incarnations  —  1
2016–present  —  1
portrayals  —  1
ranging  —  1
grinning  —  1
visage  —  1
accounts  —  1
conception  —  1
acknowledge  —  1
inspiration  —  1
served  —  1
hired  —  1
decorated  —  1
illustrations  —  1
letterer  —  1
background  —  1
inker  —  1
newly  —  1
easily  —  1
disposed  —  1
Sherlock  —  1
designing  —  1
diabolically  —  1
clownish  —  1
intrigued  —  1
contradictions  —  1
visually  —  1
exciting  —  1
indelible  —  1
impression  —  1
bizarre  —  1
memorable  —  1
Hunchback  —  1
Notre  —  1
Dame  —  1
unique  —  1
physical  —  1
telephone  —  1
sketches  —  1
thought  —  1
incomplete  —  1
countered  —  1
already  —  1
belonging  —  1
Park  —  1
Coney  —  1
Island  —  1
resembled  —  1
head  —  1
sketched  —  1
shared  —  1
journalist  —  1
stated  —  1
position  —  1
sum  —  1
looks  —  1
Veidt –  —  1
photograph  —  1
nothing  —  1
ll  —  1
say  —  1
till  —  1
couple  —  1
use  —  1
larger  —  1
extra  —  1
college  —  1
course  —  1
reminded  —  1
mention  —  1
it   —  1
mine  —  1
finished  —  1
my  —  1
outline  —  1
persona  —  1
should  —  1
happen  —  1
visuals  —  1
got  —  1
call  —  1
arrived  —  1
holding  —  1
Apparently  —  1
recall  —  1
rough  —  1
much  —  1
But  —  1
Grosset  —  1
Dunlap  —  1
issued  —  1
cheap  —  1
editions  —  1
classics  —  1
Alexandre  —  1
Dumas  —  1
volume  —  1
—  —  1
operated  —  1
weird  —  1
picture  —  1
profile  —  1
Then  —  1
worked  —  1
accounted  —  1
adamantly  —  1
refused  —  1
share  —  1
refuted  —  1
historians  —  1
died  —  1
unresolved  —  1
debuted  —  1
initially  —  1
remorseless  —  1
jewel  —  1
modeled  —  1
mirthless  —  1
faces  —  1
smiling  —  1
grotesquely  —  1
stabbed  —  1
heart  —  1
recurring  —  1
inept  —  1
overruled  —  1
Whitney  —  1
Ellsworth  —  1
hastily  —  1
drawn  —  1
indicating  —  1
still  —  1
added  —  1
regular  —  1
Dynamic  —  1
Duo  —  1
dozens  —  1
derailed  —  1
train  —  1
syndicated  —  1
newspaper  —  1
Sprang  —  1
assumed  —  1
duties  —  1
Schiff  —  1
Around  —  1
easier  —  1
market  —  1
pulp  —  1
elements  —  1
originated  —  1
threat  —  1
pays  —  1
ransom  —  1
check  —  1
meaning  —  1
Waid  —  1
Walks  —  1
Mile  —  1
incarnation  —  1
cover  —  1
Guns  —  1
genie  —  1
lamp  —  1
aiming  —  1
creative  —  1
team  —  1
Joker—as  —  1
adversary—to  —  1
resourceful  —  1
regularly  —  1
romance  —  1
1954  —  1
increasing  —  1
disapproval  —  1
content  —  1
backlash  —  1
Frederic  —  1
Wertham  —  1
hypothesized  —  1
especially  —  1
responsible  —  1
juvenile  —  1
delinquency  —  1
homosexuality  —  1
particularly  —  1
males  —  1
Parents  —  1
forbade  —  1
burnings  —  1
banned  —  1
gore  —  1
innuendo  —  1
excessive  —  1
stripping  —  1
menace  —  1
transforming  —  1
thieving  —  1
tendencies  —  1
less  —  1
frequently  —  1
1964  —  1
Julius  —  1
disliked  —  1
risked  —  1
obscure  —  1
preceding  —  1
compelled  —  1
vein  —  1
waned  —  1
1969  —  1
increase  —  1
visibility  —  1
stopped  —  1
decline  —  1
resolved  —  1
things  —  1
schoolboy  —  1
adventures  —  1
traits  —  1
squirting  —  1
trick  —  1
elaborate  —  1
Cover  —  1
disappearance  —  1
revived  —  1
revised  —  1
impulsive  —  1
maniac  —  1
matches  —  1
wits  —  1
trend  —  1
sparingly  —  1
central  —  1
library  —  1
read  —  1
34  —  1
explain  —  1
1974  —  1
Hospital  —  1
modified  —  1
changing  —  1
average  —  1
extending  —  1
jaw  —  1
taller  —  1
leaner  —  1
hotbed  —  1
experimentation  —  1
feature  —  1
interactions  —  1
balanced  —  1
likable  —  1
protagonist  —  1
readers  —  1
thugs  —  1
civilians  —  1
villainy  —  1
prevailed  —  1
struggle  —  1
Because  —  1
mandated  —  1
punishment  —  1
apprehended  —  1
limiting  —  1
scope  —  1
canceled  —  1
despite  —  1
next  —  1
advertisement  —  1
complete  —  1
difficult  —  1
obtain  —  1
commanding  —  1
high  —  1
prices  —  1
collectors  —  1
reissued  —  1
trade  —  1
paperback  —  1
41  —  1
Jenette  —  1
redeveloped  —  1
company  —  1
struggling  —  1
tenure  —  1
penciller  —  1
Marshall  —  1
eight  —  1
471–476  —  1
1977–April  —  1
1978  —  1
come  —  1
resembling  —  1
expecting  —  1
protection  —  1
unable  —  1
understand  —  1
copyrighting  —  1
natural  —  1
resource  —  1
impossible  —  1
43  —  1
influenced  —  1
44  —  1
drawing  —  1
fedora  —  1
trench  —  1
coat  —  1
outlined  —  1
understood  —  1
scary  —  1
full  —  1
moon  —  1
clouds  —  1
scuttled  —  1
tales  —  1
destruction  —  1
derided  —  1
tamer  —  1
superheroes  —  1
audiences  —  1
longer  —  1
primarily  —  1
45  —  1
Several  —  1
months  —  1
Earths  —  1
launched  —  1
icons  —  1
1986  —  1
re  —  1
imagined  —  1
older  —  1
retired  —  1
47  —  1
lipstick  —  1
wearing  —  1
function  —  1
48  —  1
exert  —  1
significant  —  1
1988–89  —  1
unpopular  —  1
rather  —  1
modify  —  1
opted  —  1
fate  —  1
plurality  —  1
beat  —  1
altered  —  1
anonymous  —  1
bystanders  —  1
core  —  1
lasting  —  1
Written  —  1
height  —  1
tensions  —  1
States  —  1
Iran  —  1
appoint  —  1
country  —  1
51  —  1
expands  —  1
describing  —  1
adopts  —  1
Unlike  —  1
place  —  1
influencing  —  1
forced  —  1
retirement  —  1
paralyzed  —  1
psychoses  —  1
facility  —  1
57  —  1
58  —  1
for—and  —  1
with—the  —  1
accomplice  —  1
concluded  —  1
titular  —  1
expand  —  1
characterization  —  1
opposed  —  1
protest  —  1
promise  —  1
incorrect  —  1
rebuttal  —  1
symbiotic  —  1
trust  —  1
adopted  —  1
outfit  —  1
utilitarian  —  1
messy  —  1
disheveled  —  1
convey  —  1
mission  —  1
surgically  —  1
removed  —  1
vol  —  1
reattached  —  1
belts  —  1
wires  —  1
hooks  —  1
outfitted  —  1
mechanics  —  1
overalls  —  1
62  —  1
concluding  —  1
chapter  —  1
IV  —  1
Jorge  —  1
Jiménez  —  1
leave  —  1
chooses  —  1
65  —  1
set  —  1
Guillem  —  1
66  —  1
undergone  —  1
revisions  —  1
pursued  —  1
colors  —  1
announces  —  1
prominent  —  1
Henry  —  1
announcement  —  1
sending  —  1
whimsical  —  1
brutal  —  1
words  —  1
vanishes  —  1
leaping  —  1
adopt  —  1
fun  —  1
maintaining  —  1
illusion  —  1
wealth  —  1
folk  —  1
penniless  —  1
tricked  —  1
fortune  —  1
68  —  1
redefined  —  1
sociopath  —  1
chemically  —  1
adds  —  1
hoping  —  1
bureaucrats  —  1
pressured  —  1
committing  —  1
interference  —  1
leap  —  1
trauma  —  1
go  —  1
prefers  —  1
paralyzes  —  1
tortures  —  1
drive  —  1
rescues  —  1
subdues  —  1
rivalry  —  1
shows  —  1
appreciation  —  1
sharing  —  1
Following  —  1
maiming  —  1
gatherer  —  1
informant  —  1
shattering  —  1
teeth  —  1
destroying  —  1
explosion  —  1
haunts  —  1
Ruhollah  —  1
appoints  —  1
diplomatic  —  1
N  —  1
shields  —  1
infants  —  1
71  —  1
taunts  —  1
kneecap  —  1
lamenting  —  1
walk  —  1
collapses  —  1
realizes  —  1
commissioner  —  1
avenged  —  1
2000s  —  1
crossover  —  1
steals  —  1
Mxyzptlk  —  1
altering  —  1
remakes  —  1
daily  —  1
resurrecting  —  1
reluctance  —  1
eliminate  —  1
lose  —  1
Broken  —  1
experiences  —  1
transferred  —  1
heal  —  1
mentally  —  1
74  —  1
doctors  —  1
convince  —  1
Instead  —  1
flanked  —  1
army  —  1
Jokerized  —  1
Believing  —  1
revives  —  1
murderer  —  1
succeeds  —  1
break  —  1
avenge  —  1
allows  —  1
kills  —  1
Alexander  —  1
excluding  —  1
76  —  1
77  —  1
deranged  —  1
officer  —  1
impersonates  —  1
scarring  —  1
disabling  —  1
cruel  —  1
enigmatic  —  1
awakens  —  1
78  —  1
recruited  —  1
Final  —  1
investigates  —  1
79  —  1
attacks  —  1
burying  —  1
recently  —  1
81  —  1
82  —  1
relaunch  —  1
disappears  —  1
extended  —  1
cliff  —  1
abyss  —  1
85  —  1
brainwashes  —  1
attacking  —  1
87  —  1
implies  —  1
immortal—having  —  1
existed  —  1
centuries  —  1
tragedy  —  1
exposure  —  1
substance  —  1
dionesium  —  1
—and  —  1
regenerate  —  1
mortal  —  1
injuries  —  1
restores  —  1
deaths  —  1
restoring  —  1
memories  —  1
2015–2016  —  1
Metron  —  1
Mobius  —  1
Chair  —  1
answer  —  1
disbelief  —  1
informs  —  1
individual  —  1
just  —  1
89  —  1
Fabok  —  1
tandem  —  1
90  —  1
executes  —  1
91  —  1
They  —  1
ve  —  1
doesn  —  1
seem  —  1
matter—just  —  1
now  —  1
give  —  1
discussed  —  1
change  —  1
thought—and  —  1
agreed—that  —  1
essential  —  1
92  —  1
backstories  —  1
Sometimes  —  1
remember  —  1
another   —  1
prefer  —  1
decade  —  1
laboratory  —  1
worker  —  1
masked  —  1
steal  —  1
1 million  —  1
dollars  —  1
retire  —  1
thwarted  —  1
bleached  —  1
quits  —  1
job  —  1
lab  —  1
Unsuccessful  —  1
agrees  —  1
robbery  —  1
goes  —  1
awry  —  1
leaps  —  1
surfacing  —  1
deduces  —  1
survived  —  1
450  —  1
aid  —  1
recovery  —  1
finds  —  1
traumatic  —  1
asserts  —  1
canon  —  1
Pushback  —  1
corrupt  —  1
policeman  —  1
working  —  1
96  —  1
Payback  —  1
gives  —  1
ending  —  1
establishes  —  1
actually  —  1
die—rather  —  1
fled  —  1
Alaska  —  1
husband  —  1
kept  —  1
knowledge  —  1
put  —  1
danger  —  1
Case  —  1
thrill  —  1
small  —  1
fateful  —  1
results  —  1
suggested  —  1
feigns  —  1
avoid  —  1
bored  —  1
encounters  —  1
embarking  —  1
attract  —  1
scars  —  1
torture  —  1
plant  —  1
empty  —  1
gunfire  —  1
punctures  —  1
tanks  —  1
above  —  1
flood  —  1
anti  —  1
medication  —  1
alters  —  1
completes  —  1
97  —  1
burning  —  1
animals  —  1
98  —  1
pre  —  1
Hoods  —  1
99  —  1
broke  —  1
nose  —  1
jester  —  1
Egyptian  —  1
pharaoh  —  1
whatever  —  1
alternate  —  1
universes  —  1
publications  —  1
allow  —  1
introduce  —  1
variations  —  1
behavior  —  1
101  —  1
depicts  —  1
battle  —  1
aged  —  1
portray  —  1
aftermath  —  1
102  —  1
describe  —  1
distant  —  1
futures  —  1
computer  —  1
virus  —  1
defeat  —  1
tyrannical  —  1
else  —  1
entirely  —  1
features  —  1
mother  —  1
104  —  1
Speeding  —  1
Bullets  —  1
Renowned  —  1
107  —  1
109  —  1
nicknames  —  1
Harlequin  —  1
Hate  —  1
Knaves  —  1
Genocide  —  1
110  —  1
evolution  —  1
taken  —  1
forms  —  1
dominant  —  1
extreme  —  1
111  —  1
level  —  1
112  —  1
113  —  1
1940s  —  1
eccentric  —  1
reconcile  —  1
thrives  —  1
mutable  —  1
irreconcilable  —  1
115  —  1
purple  —  1
tailed  —  1
padded  —  1
shoulder  —  1
string  —  1
tie  —  1
gloves  —  1
striped  —  1
pants  —  1
spats  —  1
pointed  —  1
toe  —  1
wide  —  1
brimmed  —  1
hat  —  1
straitjacket  —  1
familiar  —  1
pair  —  1
representing  —  1
yin  —  1
yang  —  1
opposing  —  1
light  —  1
color  —  1
dwells  —  1
theft  —  1
terrorism  —  1
beyond  —  1
exploits  —  1
performances  —  1
funny  —  1
Spectacle  —  1
spectacular  —  1
boring  —  1
117  —  1
claims  —  1
indifference  —  1
secretly  —  1
craves  —  1
validation  —  1
000  —  1
count  —  1
guilty  —  1
avoiding  —  1
119  —  1
120  —  1
orderly  —  1
controlled  —  1
humans  —  1
monster  —  1
displays  —  1
instinct  —  1
preservation  —  1
willing  —  1
personification  —  1
irrational  —  1
opposes  —  1
122  —  1
archvillain  —  1
repeatedly  —  1
challenge  —  1
psychological  —  1
disorder  —  1
empathy  —  1
conscience  —  1
wrong  —  1
processing  —  1
sensory  —  1
adapting  —  1
enables  —  1
times  —  1
mischievous  —  1
psychopathic  —  1
123  —  1
enters  —  1
meditative  —  1
state  —  1
evaluates  —  1
selves  —  1
consciously  —  1
effectively  —  1
modifying  —  1
losing  —  1
loss  —  1
fails  —  1
physically  —  1
psychologically  —  1
apologetically  —  1
saved  —  1
fully  —  1
aware  —  1
affect  —  1
scholar  —  1
Coogan  —  1
reshape  —  1
imposing  —  1
comprehensible  —  1
twisted  —  1
parody  —  1
demonstrates  —  1
illogical  —  1
understanding  —  1
threatening  —  1
clerk  —  1
produce  —  1
desired  —  1
125  —  1
alternatively  —  1
asexual  —  1
seductive  —  1
toward  —  1
homoerotic  —  1
undertones  —  1
manipulate  —  1
fixated  —  1
uninterested  —  1
abusively  —  1
paradoxical  —  1
keeps  —  1
heedlessly  —  1
harms  —  1
throwing  —  1
window  —  1
seeing  —  1
survives  —  1
reciprocate  —  1
chiding  —  1
plans  —  1
127  —  1
love  —  1
traditionally  —  1
128  —  1
Tomasi  —  1
concurred  —  1
stating  —  1
goal  —  1
represent  —  1
opposites  —  1
extroverted  —  1
wears  —  1
colorful  —  1
embraces  —  1
introverted  —  1
monochromatic  —  1
discipline  —  1
existence  —  1
Going  —  1
Sane  —  1
reappears  —  1
apparently  —  1
omnipotent  —  1
behind  —  1
mask  —  1
ignoring  —  1
opportunities  —  1
learn  —  1
130  —  1
Given  —  1
opportunity  —  1
demurs  —  1
winning  —  1
pointless  —  1
fellow  —  1
laughs  —  1
Boo  —  1
131  —  1
rendered  —  1
telepathic  —  1
manipulation  —  1
inducing  —  1
temporary  —  1
moments  —  1
expressing  —  1
132  —  1
133  —  1
medically  —  1
induced  —  1
partial  —  1
sanity  —  1
tells  —  1
confirms  —  1
dead  —  1
134  —  1
135  —  1
inherent  —  1
rolling  —  1
marbles  —  1
jack  —  1
unpleasant  —  1
exploding  —  1
cigars  —  1
leveling  —  1
sprays  —  1
holds  —  1
buzzer  —  1
conducting  —  1
million  —  1
volts  —  1
electricity  —  1
provides  —  1
liquid  —  1
gaseous  —  1
targets  —  1
fits  —  1
uncontrollable  —  1
coma  —  1
victim  —  1
ghoulish  —  1
pained  —  1
formula  —  1
gifted  —  1
enough  —  1
manufacture  —  1
ordinary  —  1
household  —  1
Another  —  1
susceptible  —  1
orders  —  1
138  —  1
139  —  1
immune  —  1
poisons  —  1
writes  —  1
avid  —  1
consumer  —  1
experiments  —  1
instant  —  1
developed  —  1
dedicated  —  1
140  —  1
arsenal  —  1
batarangs  —  1
Utility  —  1
Belt  —  1
mimicked  —  1
utility  —  1
belt  —  1
Mexican  —  1
jumping  —  1
beans  —  1
sneezing  —  1
powder  —  1
Follows  —  1
Suit  —  1
Batplane  —  1
Jokergyro  —  1
hood  —  1
signal  —  1
summon  —  1
heists  —  1
141  —  1
evolving  —  1
technical  —  1
practicality  —  1
hijack  —  1
airwaves  —  1
threats  —  1
transform  —  1
buildings  —  1
traps  —  1
gas  —  1
rain  —  1
glass  —  1
shards  —  1
airship  —  1
143  —  1
skilled  —  1
melee  —  1
sword  —  1
overwhelms  —  1
144  —  1
firearms  —  1
barreled  —  1
revolver  —  1
releases  —  1
Bang  —  1
pull  —  1
skewer  —  1
target  —  1
145  —  1
formidable  —  1
asset  —  1
See  —  1
List  —  1
146  —  1
147  —  1
threatened  —  1
circumstances  —  1
likely  —  1
rivals  —  1
entertaining  —  1
outcome  —  1
148  —  1
interacts  —  1
whether  —  1
streets  —  1
partnerships  —  1
rarely  —  1
stature  —  1
149  —  1
smartest  —  1
partnership  —  1
1950  —  1
unions  —  1
emphasized  —  1
mutual  —  1
hostility  —  1
clashing  —  1
egos  —  1
150  —  1
tendency  —  1
subordinates  —  1
whim  —  1
difficulty  —  1
attracting  —  1
henchmen  —  1
seemingly  —  1
infinite  —  1
supply  —  1
intimidation  —  1
employer  —  1
refuse  —  1
demands  —  1
wear  —  1
noses  —  1
laugh  —  1
macabre  —  1
jokes  —  1
unpredictability  —  1
powers  —  1
Salvation  —  1
Run  —  1
hundreds  —  1
spell  —  1
alternative  —  1
151  —  1
Gaggy  —  1
Gagsworthy  —  1
dressed  —  1
replacement  —  1
develops  —  1
obsessive  —  1
infatuation  —  1
black  —  1
harlequin  —  1
achieve  —  1
expense  —  1
154  —  1
spotted  —  1
hyenas  —  1
pets  —  1
trait  —  1
Duela  —  1
Dent  —  1
daughter  —  1
parentage  —  1
proven  —  1
false  —  1
occasionally  —  1
ventured  —  1
Die  —  1
1987  —  1
nuclear  —  1
relative  —  1
ease  —  1
him—it  —  1
Asked  —  1
replies  —  1
Oh  —  1
155  —  1
third  —  1
Greek  —  1
trickery  —  1
temper  —  1
confidence  —  1
156  —  1
joined  —  1
157  —  1
158  —  1
exhibition  —  1
Barcelona  —  1
celebrating  —  1
75th  —  1
anniversary  —  1
159  —  1
archetypal  —  1
displaying  —  1
talents  —  1
cunning  —  1
pranks  —  1
theatricality  —  1
idiomatic  —  1
alternates  —  1
malicious  —  1
clever  —  1
whimsy  —  1
considerations  —  1
shameless  —  1
insatiable  —  1
condemned  —  1
necessary  —  1
robustness  —  1
161  —  1
employs  —  1
immoral  —  1
destabilize  —  1
status  —  1
quo  —  1
political  —  1
hypocrisies  —  1
attempts  —  1
162  —  1
differs  —  1
abnormal  —  1
imagery  —  1
inversion  —  1
simultaneously  —  1
subhuman  —  1
indicates  —  1
unity  —  1
164  —  1
serves  —  1
guide  —  1
psyche  —  1
testing  —  1
ways  —  1
ultimately  —  1
offering  —  1
cede  —  1
165  —  1
Rather  —  1
anarchist  —  1
analysed  —  1
Marxist  —  1
opposite  —  1
capitalist  —  1
anarchism  —  1
rejection  —  1
favor  —  1
uncontrolled  —  1
freedom  —  1
166  —  1
retains  —  1
coerce  —  1
consolidate  —  1
convert  —  1
masses  —  1
thinking  —  1
eliminating  —  1
167  —  1
abused  —  1
underclass  —  1
failings  —  1
system  —  1
perpetrate  —  1
wealthiest  —  1
men  —  1
judge  —  1
169  —  1
wealthy  —  1
yet  —  1
triumph  —  1
innovations  —  1
Litsey  —  1
Nietzschean  —  1
Friedrich  —  1
Nietzsche  —  1
exemplified  —  1
171  —  1
indomitable  —  1
discouraged  —  1
caught  —  1
restrained  —  1
guilt  —  1
172  —  1
defines  —  1
judges  —  1
needing  —  1
approval  —  1
benefits  —  1
aspiring  —  1
distinction  —  1
avoidance  —  1
quest  —  1
174  —  1
question  —  1
regret  —  1
assess  —  1
moves  —  1
forward  —  1
175  —  1
controlling  —  1
analyzed  —  1
reinforcing  —  1
belief  —  1
neutralized  —  1
mirrors  —  1
indifferent  —  1
towards  —  1
continues  —  1
try  —  1
successfully  —  1
emasculated  —  1
severely  —  1
think  —  1
recovers  —  1
accepts  —  1
reasserting  —  1
178  —  1
admitting  —  1
care  —  1
prevent  —  1
fulfilling  —  1
purpose  —  1
179  —  1
Removing  —  1
Thrillkiller  —  1
Bianca  —  1
lesbian  —  1
aspects  —  1
subjugation  —  1
180  —  1
Burgess  —  1
Meredith  —  1
Gorshin  —  1
recognizable  —  1
184  —  1
185  —  1
liked  —  1
remained  —  1
foes  —  1
throughout  —  1
publication  —  1
Indeed  —  1
released  —  1
Told  —  1
1987–1988  —  1
collections  —  1
included  —  1
187  —  1
focus  —  1
desirability  —  1
adheres  —  1
unbreakable  —  1
code  —  1
forbidding  —  1
saving  —  1
lives  —  1
relentless  —  1
dealer  —  1
debates  —  1
weigh  —  1
positive  —  1
stopping  —  1
possibility  —  1
188  —  1
189  —  1
magazine  —  1
190  —  1
fifth  —  1
191  —  1
eighth  —  1
ranked  —  1
lists  —  1
192  —  1
193  —  1
194  —  1
WhatCulture  —  1
196  —  1
positively  —  1
197  —  1
198  —  1
199  —  1
campy  —  1
ferocious  —  1
unstable  —  1
201  —  1
202  —  1
Mexico  —  1
203  —  1
204  —  1
rides  —  1
Battle  —  1
represented  —  1
trading  —  1
board  —  1
pajamas  —  1
socks  —  1
toy  —  1
Corgi  —  1
metal  —  1
replica  —  1
Volkswagen  —  1
microbus  —  1
manufactured  —  1
Mego  —  1
academic  —  1
2012–2013  —  1
below  —  1
According  —  1
symbolize  —  1
archetype  —  1
edgelord  —  1
vapid  —  1
provocateur  —  1
prides  —  1
ability  —  1
those  —  1
hold  —  1
progressive  —  1
viewpoints  —  1
207  —  1
phrase  —  1
commonly  —  1
garnered  —  1
notoriety  —  1
line  —  1
208  —  1
209  —  1
catalog  —  1
libraries  —  1
countries  —  1
productions  —  1
earliest  —  1
screen  —  1
cackling  —  1
counterpart  —  1
210  —  1
211  —  1
1968  —  1
Larry  —  1
Storch  —  1
212  —  1
213  —  1
1985  —  1
Welker  —  1
214  —  1
215  —  1
400 million  —  1
overshadow  —  1
critic  —  1
must  —  1
remind  —  1
themselves  —  1
root  —  1
216  —  1
217  —  1
Voiced  —  1
retained  —  1
tone  —  1
acceptable  —  1
218  —  1
219  —  1
Static  —  1
Shock  —  1
amusement  —  1
voiceovers  —  1
221  —  1
222  —  1
223  —  1
African  —  1
play  —  1
225  —  1
Nolan  —  1
teaser  —  1
involvement  —  1
avatar  —  1
anarchy  —  1
227  —  1
total  —  1
370 million  —  1
228  —  1
1 billion  —  1
midnight  —  1
weekend  —  1
229  —  1
230  —  1
acting  —  1
231  —  1
232  —  1
233  —  1
234  —  1
DiMaggio  —  1
235  —  1
236  —  1
2014–2019  —  1
mythology  —  1
twin  —  1
brothers  —  1
Cameron  —  1
Monaghan  —  1
237  —  1
portrays  —  1
239  —  1
Zach  —  1
Galifianakis  —  1
240  —  1
focuses  —  1
controversial  —  1
mental  —  1
illness  —  1
widespread  —  1
acclaim  —  1
241  —  1
242  —  1
243  —  1
grossed  —  1
breaking  —  1
financial  —  1
numerous  —  1
awards  —  1
245  —  1
246  —  1
equally  —  1
praised  —  1
multiplayer  —  1
247  —  1
Troy  —  1
Baker  —  1
prequel  —  1
248  —  1
249  —  1
finale  —  1
Epcar  —  1
252  —  1
253  —  1
254  —  1
255  —  1
Videogame  —  1
256  —  1
257  —  1
258  —  1
Ingruber  —  1
voices  —  1
259  —  1
260  —  1
Zalben  —  1
Birthday  —  1
MTV  —  1
h  —  1
j  —  1
k  —  1
Robinson   —  1
Ain  —  1
Nature  —  1
 2–3  —  1
Seifert  —  1
Made  —  1
Else  —  1
Had  —  1
Nothing  —  1
Do  —  1
With  —  1
Did  —  1
Bleeding  —  1
Web  —  1
Exclusives  —  1
FrankLovece  —  1
official  —  1
Tackles  —  1
transcribed  —  1
Hanerfeld  —  1
1967  —  1
Tinued  —  1
Batmania  —  1
8–9  —  1
originals  —  1
Gustines  —  1
Gene  —  1
Deck  —  1
Birth  —  1
Cohen  —  1
Torn  —  1
Between  —  1
Goof  —  1
NPR  —  1
Gallagher  —  1
Mistakes  —  1
Ruined  —  1
Tronc  —  1
Fleisher  —  1
L  —  1
Encyclopedia  —  1
Macmillan  —  1
Co  —  1
 234–250  —  1
02  —  1
538700  —  1
 36  —  1
Pictures  —  1
Rare  —  1
heading  —  1
auction  —  1
Associated  —  1
Cracked  —  1
 171  —  1
Macek  —  1
C  —  1
Spotlight  —  1
PopMatters  —  1
 173  —  1
Parker  —  1
Evolution  —  1
Met  —  1
Bag  —  1
Tricks  —  1
 2  —  1
brand  —  1
product  —  1
far  —  1
blackmail  —  1
officials  —  1
compensated  —  1
hideous  —  1
innovation  —  1
Pearson  —  1
Roberta  —  1
Uricchio  —  1
William  —  1
Notes  —  1
Batcave  —  1
Abingdon  —  1
 18  —  1
Panel  —  1
 176  —  1
Solo  —  1
 177  —  1
 380  —  1
 XVI  —  1
Sanderson  —  1
Context  —  1
Definitive  —  1
fondly  —  1
cartoon  —  1
harbors  —  1
signature  —  1
collect  —  1
royalties  —  1
Artist  —  1
Dead  —  1
Sci  —  1
Fi  —  1
six  —  1
laid  —  1
foundation  —  1
classic  —  1
Earlier  —  1
drafts  —  1
Keaton  —  1
heavily  —  1
 182  —  1
 183  —  1
Strike  —  1
Talks  —  1
Brutal  —  1
 108  —  1
Offering  —  1
keen  —  1
insight  —  1
minds  —  1
special  —  1
 188  —  1
Deluxe  —  1
Edition  —  1
Speak  —  1
Out  —  1
20th  —  1
Century  —  1
Danny  —  1
Pandora  —  1
Archive  —  1
Renaud  —  1
Jeffrey  —  1
Plays  —  1
Clark  —  1
Noelene  —  1
Convergence  —  1
Status  —  1
Quo  —  1
Done  —  1
Polo  —  1
Susana  —  1
Holub  —  1
Christian  —  1
getting  —  1
monthly  —  1
 27  —  1
Brian   —  1
38–40  —  1
1401209270  —  1
Hughes  —  1
Joseph  —  1
Really  —  1
Happened  —  1
End  —  1
Opinion  —  1
Bricken  —  1
Rob  —  1
Craziest  —  1
Kills  —  1
Rucka  —  1
Devin   —  1
 Scott  —  1
Damion  —  1
Dale   —  1
 Parsons  —  1
Buscema  —  1
Hunter  —  1
Rob   —  1
 Rambo  —  1
Pamela   —  1
Sleep  —  1
Heavenly  —  1
Peace  —  1
 741  —  1
Jeph  —  1
DeMatteis  —  1
M  —  1
Schultz  —  1
McGuiness  —  1
Ed  —  1
 Miller  —  1
Mike  —  1
Cam  —  1
Marzan  —  1
Jose  —  1
Nguyen  —  1
Tom  —  1
McCrea  —  1
Alquiza  —  1
Marlo  —  1
Durrurthy  —  1
Armando  —  1
others   —  1
vSuperman  —  1
160–161  —  1
582–583  —  1
769–770  —  1
104–105  —  1
